"
                        单间 | 祥和小区 3室2厅 次卧 朝南 精装修                    ",祥和小区,400,http://dy.58.com/hezu/29893408526279x.shtml
"
                        整租 | 西城。半年付白云 2室1厅60平米 简单装修 半年付                    ",西城。半年付白云,500,http://dy.58.com/zufang/28136957015359x.shtml
"
                        单间 | 清苑小区小院平房 带全减免 中等装修 部分家具家电                     ",清苑小区小院平房,300,http://dy.58.com/hezu/29538628956988x.shtml
"
                        整租 | 河口河瑞50型2 2室1厅68平米 简单装修 年付                    ", ,500,http://dy.58.com/zufang/29928408106810x.shtml
"
                        整租 | 河口河龙5楼没有 2室1厅68平米 简单装修 年付                    ",河口河龙5楼没有,420,http://dy.58.com/zufang/29922601750857x.shtml
"
                        单间 | 干净整洁的房子 等你来                    ",干净整洁的房子,380,http://dy.58.com/hezu/30037799658809x.shtml
"
                        整租 | 河口西河兴4楼出 2室1厅68平米 简单装修 年付                    ",河口西河兴4楼出,500,http://dy.58.com/zufang/30036808345529x.shtml
"
                        单间 | 物华朝阳小区1室1厅 带减免 中等装修朝阳主卧 部分                    ",物华朝阳小区1室1厅,500,http://dy.58.com/hezu/30034586916294x.shtml
"
                        单间 | 区三中文环路小区 中等装修精品朝阳主卧室 带家具家电                    ",区三中文环路小区,500,http://dy.58.com/hezu/25213164140491x.shtml
"
                        整租 | 河口河欣4楼出租 2室1厅68平米 简单装修 年付                    ",河口河欣4楼出租,500,http://dy.58.com/zufang/29800864243651x.shtml
"
                        单间 | 河龙小区 3室1卫 限女生                    ",河龙小区,300,http://dy.58.com/hezu/29711552046413x.shtml
"
                        单间 | 淄博路三合鑫苑 2室2厅1卫 ，12楼                    ",淄博路三合鑫苑,500,http://dy.58.com/hezu/29361610866252x.shtml
"
                        单间 | 三合友谊小区 中等装修 部分家具家电 精品朝阳主卧室                    ",三合友谊小区,500,http://dy.58.com/hezu/26787441511104x.shtml
"
                        单间 | 物华苑朝阳小区 中等装修 家具家电 精品大卧室 拎包                    ",物华苑朝阳小区,350,http://dy.58.com/hezu/29538694121412x.shtml
"
                        整租 | 西城位于济南路泽 2室1厅50平米 简单装修 年付                    ",西城位于济南路泽,500,http://dy.58.com/zufang/30033838571444x.shtml
"
                        整租 | 东升阁楼出租                    ",东升阁楼出租,1,http://dy.58.com/zufang/29789532616255x.shtml
"
                        整租 | 电厂阳城小区45型,带简单家具家电,年租金4500,                    ","电厂阳城小区45型,带简单家具家电,年租金4500,",375,http://dy.58.com/zufang/29991887904720x.shtml
"
                        单间 | 西三路科技一村 精装修 部分家具家电 精品超值大卧室                    ",西三路科技一村,420,http://dy.58.com/hezu/30010939613772x.shtml
"
                        单间 | 集萃苑小区 精装修 精品卧室 带部分家具 拎包入住                    ",集萃苑小区,350,http://dy.58.com/hezu/25425515500850x.shtml
"
                        整租 | 东营区东城科达B区 1室1厅35平米车库出租 中等装                    ",东营区东城科达B区,55,http://dy.58.com/zufang/29811918474809x.shtml
"
                        单间 | 东营区燕山路环保局 1室1厅 简单装修 朝北 隔断                    ",东营区燕山路环保局,200,http://dy.58.com/hezu/29248444396074x.shtml
"
                        整租 | 东营区西城淄博路电业局 1室1厅42平米 简单装修                     ",东营区西城淄博路电业局,500,http://dy.58.com/zufang/29315351250122x.shtml
"
                        整租 | 河口河欣50型5 2室1厅68平米 简单装修 半年付                    ", ,500,http://dy.58.com/zufang/29483283308228x.shtml
"
                        整租 | 河口河瑞3楼顶楼 2室1厅68平米 简单装修 年付                    ",河口河瑞3楼顶楼,500,http://dy.58.com/zufang/30023482315689x.shtml
"
                        单间 | 物华苑朝阳小区 中等装修 精品朝阳主卧 家具家电 拎                    ",物华苑朝阳小区,460,http://dy.58.com/hezu/25547407143243x.shtml
"
                        整租 | 东营区西二路建行3室2厅1卫1元                    ",东营区西二路建行3室2厅1卫1元,1,http://dy.58.com/zufang/29161263078842x.shtml
"
                        整租 | 东城永兴花园车库 1室1厅50平米 简单装修 押一付                    ",东城永兴花园车库,500,http://dy.58.com/zufang/30014288884302x.shtml
